kingdom	phylum	ERR164407	ERR164408	ERR164409	ERR315858	ERR315859	ERR315860	ERR315861	ERR315862	ERR315863	ERR318618	ERR318619	ERR318620	ERR318621	ERR598942	ERR598943	ERR598944	ERR598945	ERR598946	ERR598947	ERR598948	ERR598949	ERR598950	ERR598951	ERR598952	ERR598953	ERR598954	ERR598955	ERR598956	ERR598957	ERR598958	ERR598959	ERR598960	ERR598961	ERR598962	ERR598963	ERR598964	ERR598965	ERR598966	ERR598967	ERR598968	ERR598969	ERR598970	ERR598971	ERR598972	ERR598973	ERR598974	ERR598975	ERR598976	ERR598977	ERR598978	ERR598979	ERR598980	ERR598981	ERR598982	ERR598983	ERR598984	ERR598985	ERR598986	ERR598987	ERR598988	ERR598989	ERR598990	ERR598991	ERR598992	ERR598993	ERR598994	ERR598995	ERR598996	ERR598997	ERR598998	ERR598999	ERR599000	ERR599001	ERR599002	ERR599003	ERR599004	ERR599005	ERR599006	ERR599007	ERR599008	ERR599009	ERR599010	ERR599011	ERR599012	ERR599013	ERR599014	ERR599015	ERR599016	ERR599017	ERR599018	ERR599019	ERR599020	ERR599021	ERR599022	ERR599023	ERR599024	ERR599025	ERR599026	ERR599027	ERR599028	ERR599029	ERR599030	ERR599031	ERR599032	ERR599033	ERR599034	ERR599035	ERR599036	ERR599037	ERR599038	ERR599039	ERR599040	ERR599041	ERR599042	ERR599043	ERR599044	ERR599045	ERR599046	ERR599047	ERR599048	ERR599049	ERR599050	ERR599051	ERR599052	ERR599053	ERR599054	ERR599055	ERR599056	ERR599057	ERR599058	ERR599059	ERR599060	ERR599061	ERR599062	ERR599063	ERR599064	ERR599065	ERR599066	ERR599067	ERR599068	ERR599069	ERR599070	ERR599071	ERR599072	ERR599073	ERR599074	ERR599075	ERR599076	ERR599077	ERR599078	ERR599079	ERR599080	ERR599081	ERR599082	ERR599083	ERR599084	ERR599085	ERR599086	ERR599087	ERR599088	ERR599089	ERR599090	ERR599091	ERR599092	ERR599093	ERR599094	ERR599095	ERR599096	ERR599097	ERR599098	ERR599099	ERR599100	ERR599101	ERR599102	ERR599103	ERR599104	ERR599105	ERR599106	ERR599107	ERR599108	ERR599109	ERR599110	ERR599111	ERR599112	ERR599113	ERR599114	ERR599115	ERR599116	ERR599117	ERR599118	ERR599119	ERR599120	ERR599121	ERR599122	ERR599123	ERR599124	ERR599125	ERR599126	ERR599127	ERR599128	ERR599129	ERR599130	ERR599131	ERR599132	ERR599133	ERR599134	ERR599135	ERR599136	ERR599137	ERR599138	ERR599139	ERR599140	ERR599141	ERR599142	ERR599143	ERR599144	ERR599145	ERR599146	ERR599147	ERR599148	ERR599149	ERR599150	ERR599151	ERR599152	ERR599153	ERR599154	ERR599155	ERR599156	ERR599157	ERR599158	ERR599159	ERR599160	ERR599161	ERR599162	ERR599163	ERR599164	ERR599165	ERR599166	ERR599167	ERR599168	ERR599169	ERR599170	ERR599171	ERR599172	ERR599173	ERR599174	ERR599175	ERR599176
Archaea	Crenarchaeota	0	1	0	38	178	189	29	0	1	0	0	0	0	23	1	14425	0	2649	11796	45	77	198	2	0	1037	0	18	0	6	9032	84	16712	6	2	2641	16622	1	0	0	5564	12	23	9938	162	165	57	1365	109	105	0	164	10758	520	239	5281	2	15438	3598	308	2326	0	267	152	0	250	128	1099	399	0	2378	4427	15698	2263	2	3	1379	2989	11	13	5945	3	0	0	38	84	93	1860	0	524	107	0	9394	4159	0	575	0	172	21	0	3	89	0	593	338	4455	2747	3	29	453	294	4	71	7	7	13	11714	0	585	10589	1515	101	0	1361	0	534	0	3704	301	48	83	1	1358	547	3242	0	0	0	15	2223	172	30	223	14505	13944	2	1	0	1913	0	1652	23	31	112	359	4526	2198	3107	14122	1235	42	2254	0	8	11	0	1830	992	4393	3326	0	279	490	3962	7	281	5	0	48	224	0	442	619	6162	16654	24	11	22169	11	2386	0	18	0	52	1	2374	2744	1438	2	1878	7063	274	415	2331	16096	218	83	13	423	85	0	0	42	12	0	0	126	7	307	275	412	2174	208	18	1850	329	2595	3	10673	2299	3	14591	75	2290	1	0	6782	26	15398	867	3	0	662	311	191	498	555	1415	2
Archaea	Euryarchaeota	0	0	0	149	478	455	162	0	29	54	2	26	5	2814	396	2841	2	1599	2976	2899	335	673	1	239	623	1560	1297	0	2144	6889	1099	2842	3040	278	6368	2861	22	0	414	4251	396	772	2595	1979	713	468	1685	6541	1460	1287	1408	3475	318	856	6913	933	2583	5217	419	1094	2039	1869	2258	3393	2053	202	8088	3499	258	1057	850	1759	5498	3183	248	256	760	458	1500	2882	893	128	278	2335	1034	7287	356	843	905	826	214	4227	603	110	7330	1026	2001	1848	788	2044	565	1769	169	4195	829	450	651	758	334	3489	1991	460	399	453	31	1561	159	666	2750	391	1565	71	264	1775	6345	695	408	433	1862	1745	12	264	1277	1040	124	4	1317	1008	587	759	763	399	2676	1450	570	1507	1279	376	2558	5131	823	750	2200	1648	921	1154	599	4521	6304	740	1149	0	1053	2549	466	840	3472	848	7146	375	420	6779	4059	1349	393	17	213	2004	824	531	187	4293	7240	1953	438	1037	4516	1079	967	1781	1039	276	74	3499	4439	274	703	875	368	704	293	4481	536	1656	1725	877	980	5765	741	977	2297	337	415	1578	639	207	2004	2827	382	2572	341	5515	766	378	144	291	182	4567	965	705	1458	4474	1125	983	534	1023	2140	3403	381	458	199	3404	348	148	2043	686	283	4
Archaea	Parvarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	4	0	30	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	57	1	0	0	0	0	0	0	0	0	1	46	0	0	0	0	22	2	0	0	0	0	0	0	0	0	0	23	0	3	0	0	0	62	0	0	0	0	0	0	1	0	0	0	0	0	0	52	0	0	0	0	0	0	6	0	45	0	179	0	0	0	0	0	0	0	29	1	1	0	0	0	58	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	21	0	0	6	0	0	4	1	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	1	37	0	0	0	0	32	0	0	38	0
Bacteria	AC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	AD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria	Acidobacteria	0	0	0	1	1	1	3	0	3	1	1	4	2	0	1	1248	0	251	888	3	0	3	0	0	108	0	2	0	6	613	2	1189	11	1	6	1003	14	0	0	23	0	0	571	4	2	13	55	0	0	6	2	1089	38	0	24	1	520	59	145	5	2	9	0	1	3	1	4	7	0	102	258	1390	14	3	2	241	126	6	3	529	30	1	1	7	0	2	159	0	5	0	0	387	327	2	10	2	3	1	3	1	12	2	129	9	231	189	21	1	355	5	0	0	0	0	2	904	0	7	722	75	5	11	254	3	4	0	90	3	1	2	4	223	11	745	0	3	5	0	117	1	0	136	1468	1482	4	1	3	187	5	11	2	1	12	1	242	10	329	918	20	2	8	5	1	3	2	5	2	230	75	3	161	5	50	2	3	3	1	4	1	0	170	12	272	1009	1	2	664	7	93	4	1	1	5	4	14	242	141	10	179	157	1	3	175	344	11	3	2	5	3	0	5	0	0	5	3	0	4	10	176	9	208	7	1	168	2	217	0	1019	94	0	1018	9	4	3	1	522	4	1075	321	0	0	3	2	151	2	11	230	1
Bacteria	Actinobacteria	8	18	6	974	2479	2322	987	626	3418	2671	225	2448	251	4570	1536	2769	22	2269	3878	4211	697	1274	225	904	868	3329	2826	0	4105	2147	1910	4887	5327	1151	4845	3509	287	0	2355	3781	846	1040	3184	2027	544	906	865	6749	1619	5114	1538	3729	465	573	2252	2089	3686	5296	848	1543	8864	1923	3514	4127	5118	553	4828	5958	978	994	1663	4209	4175	4766	495	620	1415	2921	6149	3159	29	276	1275	4965	2029	4976	764	1221	532	827	1012	3739	939	575	7041	2690	2013	6518	8	3774	6249	5756	767	5047	1581	863	27	1608	2762	4166	4892	662	1703	1012	1307	2571	946	549	2945	743	2909	4027	699	3563	7090	4167	652	277	4060	5141	91	679	736	3951	446	37	4179	2507	752	659	1672	826	2067	2521	952	6160	5919	785	3553	4595	2027	1687	4161	3582	1592	1565	461	3290	7983	939	1548	24	2597	4339	1268	3877	6647	1585	3799	590	856	5004	3604	2506	294	8	430	3775	592	1697	1245	4578	3695	9836	767	2540	5607	4378	922	6555	2743	784	59	33	4610	654	830	1716	786	1333	250	8575	762	2970	4821	1625	211	6162	2092	5193	3359	792	1491	3458	1337	606	5597	3007	813	3703	484	6528	1630	775	738	665	763	3702	955	1184	3547	4912	1547	9682	2063	1609	400	4074	2305	1803	798	5399	246	1268	1537	526	627	10
Bacteria	AncK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	32	51	0	0	0	0	0	14	0	0	0	0	40	0	19	0	0	0	19	0	0	0	1	0	0	13	0	0	0	12	0	0	0	1	29	6	0	1	0	20	0	23	0	0	2	0	1	1	0	0	0	0	0	16	37	0	0	0	20	4	0	0	92	0	0	0	0	0	0	20	0	0	0	0	32	6	0	2	0	0	0	0	0	0	0	2	0	12	4	0	0	7	0	0	0	0	0	0	33	0	0	18	5	0	0	30	0	0	0	1	0	0	0	0	17	3	10	0	0	0	0	1	0	0	19	21	23	1	0	0	16	0	0	0	1	0	0	18	0	4	28	1	0	0	0	0	0	0	0	0	19	13	0	22	0	2	0	0	0	0	1	0	0	1	0	100	16	0	0	128	0	1	0	1	0	0	0	0	4	24	0	17	1	0	0	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	6	0	0	23	0	4	0	8	0	0	42	0	0	0	0	11	0	54	11	0	0	0	0	2	0	0	19	0
Bacteria	Aquificae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Armatimonadetes	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
