#SampleID	ERR164407	ERR164408	ERR164409	ERR315858	ERR315859	ERR315860	ERR315861	ERR315862	ERR315863	ERR318618	ERR318619	ERR318620	ERR318621	ERR598942	ERR598943	ERR598944	ERR598945	ERR598946	ERR598947	ERR598948	ERR598949	ERR598950	ERR598951	ERR598952	ERR598953	ERR598954	ERR598955	ERR598956	ERR598957	ERR598958	ERR598959	ERR598960	ERR598961	ERR598962	ERR598963	ERR598964	ERR598965	ERR598966	ERR598967	ERR598968	ERR598969	ERR598970	ERR598971	ERR598972	ERR598973	ERR598974	ERR598975	ERR598976	ERR598977	ERR598978	ERR598979	ERR598980	ERR598981	ERR598982	ERR598983	ERR598984	ERR598985	ERR598986	ERR598987	ERR598988	ERR598989	ERR598990	ERR598991	ERR598992	ERR598993	ERR598994	ERR598995	ERR598996	ERR598997	ERR598998	ERR598999	ERR599000	ERR599001	ERR599002	ERR599003	ERR599004	ERR599005	ERR599006	ERR599007	ERR599008	ERR599009	ERR599010	ERR599011	ERR599012	ERR599013	ERR599014	ERR599015	ERR599016	ERR599017	ERR599018	ERR599019	ERR599020	ERR599021	ERR599022	ERR599023	ERR599024	ERR599025	ERR599026	ERR599027	ERR599028	ERR599029	ERR599030	ERR599031	ERR599032	ERR599033	ERR599034	ERR599035	ERR599036	ERR599037	ERR599038	ERR599039	ERR599040	ERR599041	ERR599042	ERR599043	ERR599044	ERR599045	ERR599046	ERR599047	ERR599048	ERR599049	ERR599050	ERR599051	ERR599052	ERR599053	ERR599054	ERR599055	ERR599056	ERR599057	ERR599058	ERR599059	ERR599060	ERR599061	ERR599062	ERR599063	ERR599064	ERR599065	ERR599066	ERR599067	ERR599068	ERR599069	ERR599070	ERR599071	ERR599072	ERR599073	ERR599074	ERR599075	ERR599076	ERR599077	ERR599078	ERR599079	ERR599080	ERR599081	ERR599082	ERR599083	ERR599084	ERR599085	ERR599086	ERR599087	ERR599088	ERR599089	ERR599090	ERR599091	ERR599092	ERR599093	ERR599094	ERR599095	ERR599096	ERR599097	ERR599098	ERR599099	ERR599100	ERR599101	ERR599102	ERR599103	ERR599104	ERR599105	ERR599106	ERR599107	ERR599108	ERR599109	ERR599110	ERR599111	ERR599112	ERR599113	ERR599114	ERR599115	ERR599116	ERR599117	ERR599118	ERR599119	ERR599120	ERR599121	ERR599122	ERR599123	ERR599124	ERR599125	ERR599126	ERR599127	ERR599128	ERR599129	ERR599130	ERR599131	ERR599132	ERR599133	ERR599134	ERR599135	ERR599136	ERR599137	ERR599138	ERR599139	ERR599140	ERR599141	ERR599142	ERR599143	ERR599144	ERR599145	ERR599146	ERR599147	ERR599148	ERR599149	ERR599150	ERR599151	ERR599152	ERR599153	ERR599154	ERR599155	ERR599156	ERR599157	ERR599158	ERR599159	ERR599160	ERR599161	ERR599162	ERR599163	ERR599164	ERR599165	ERR599166	ERR599167	ERR599168	ERR599169	ERR599170	ERR599171	ERR599172	ERR599173	ERR599174	ERR599175	ERR599176
Root	45	35	29	5355	4861	4758	5575	4507	8280	5757	688	5534	690	14886	3830	21729	4991	12094	18994	20150	2680	3199	2532	2020	4827	15846	12088	1	22363	29429	4368	22985	20022	2196	23284	22090	14245	1	15019	24453	3028	3704	21131	5587	3616	2741	6869	16231	3840	11509	5854	26403	2500	4408	27457	11147	18793	21008	6205	6599	13308	6947	7588	13251	13432	4574	27727	17810	1830	8535	6085	20180	18511	11598	2233	6409	11253	14262	11142	18466	11394	3678	2654	11421	3008	20094	7563	3860	7018	3079	2562	31619	5448	2874	17030	13158	5523	12419	4258	10046	13736	14425	5454	17908	6084	3963	8348	5168	16541	16615	13217	3281	3485	4682	13888	22449	2718	3595	18581	5966	6875	15842	6547	19413	15212	8637	3230	4055	11443	13761	23820	6597	5277	28694	1861	7441	8390	4117	5112	4020	5313	6277	21601	19538	3443	9600	8004	7358	16347	16826	8698	5365	16131	11739	6296	6731	5044	24975	22458	3274	6492	17213	4060	14278	6424	15348	16521	6157	23098	2593	6424	16335	21672	5222	4040	4768	2793	12158	4293	3476	7334	16534	27430	18502	3397	4173	26713	9260	8504	11481	4308	4063	22410	18449	21021	4248	4840	20530	7164	5483	4795	11650	3735	12745	13756	4384	4296	17085	6911	9291	12619	2645	2531	13508	3904	4663	11413	9683	6319	17745	4243	19618	5142	7530	3209	3539	2055	31774	8401	3228	21268	22592	6454	13351	8155	8715	8277	24415	12323	3603	3123	18915	4855	7472	8660	8598	6477	4640
Root;k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	55	97	0	0	4	0	0	19	0	0	0	0	554	0	283	0	0	1	288	0	0	0	15	0	0	49	0	0	6	21	0	0	0	3	243	7	0	5	0	83	21	58	0	0	2	0	0	0	0	0	0	0	30	19	280	3	0	0	54	19	0	0	19	0	0	0	0	0	0	89	0	0	0	0	21	93	0	1	0	0	0	0	0	0	0	64	1	22	55	0	0	142	1	0	0	0	0	0	122	0	0	229	14	0	0	73	0	0	0	0	0	0	0	0	78	0	261	0	0	0	0	13	0	0	45	423	278	0	0	0	122	0	0	1	0	0	0	19	0	79	51	0	0	0	0	1	0	0	1	3	21	3	0	49	4	5	0	1	0	0	0	1	0	69	1	118	60	0	0	49	0	25	0	0	0	0	0	1	39	10	0	103	3	0	0	18	4	0	0	0	3	0	0	0	0	0	0	0	0	0	3	46	0	24	0	0	85	0	50	0	652	30	0	221	0	2	0	0	150	0	264	103	0	0	2	0	62	0	0	69	0
Root;k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
Root;k__Archaea;p__Crenarchaeota;c__MBGB;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__MCG;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	24	0	92	0	0	0	0	0	0	0	3	0	0	0	0	0	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	12	0	0	22	0
Root;k__Archaea;p__Crenarchaeota;c__MCG;o__B10;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__THSCG;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	20	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__AK31;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	38	0	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	3	3	0	0	0	2	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	1	0	5	2	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	1	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
